County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),State FIPS,County FIPS,Year
"Porter County, Indiana",161900,712,18623.0,165537,77960,18291.0,85682,61432,18,127,2011
"St. Joseph County, Indiana",112500,592,26494.0,266700,120561,50115.0,135485,43766,18,141,2011
"Tippecanoe County, Indiana",133700,645,19702.0,174724,83599,36143.0,89586,42404,18,157,2011
"Vanderburgh County, Indiana",110600,541,16433.0,180305,85290,25878.0,92282,43630,18,163,2011
"Vigo County, Indiana",92900,525,9485.0,108182,48402,18147.0,52896,39229,18,167,2011
"Wayne County, Indiana",89100,443,4901.0,68643,29153,14634.0,33440,36358,18,177,2011
"Black Hawk County, Iowa",126200,536,15558.0,131549,66599,20856.0,72106,42438,19,013,2011
"Dallas County, Iowa",178900,785,14097.0,69444,35984,5043.0,37791,69831,19,049,2011
"Dubuque County, Iowa",146800,534,10349.0,94648,50044,8310.0,53466,53011,19,061,2011
"Johnson County, Iowa",180500,699,20928.0,133038,75518,24714.0,79133,52732,19,103,2011
"Linn County, Iowa",144800,532,30990.0,213875,112552,22158.0,119527,55449,19,113,2011
"Polk County, Iowa",150400,653,73523.0,437399,224187,54003.0,241953,55826,19,153,2011
"Pottawattamie County, Iowa",125100,583,8762.0,93518,45945,13939.0,49017,48850,19,155,2011
"Scott County, Iowa",146600,552,22947.0,167095,80052,22106.0,85402,49549,19,163,2011
"Story County, Iowa",160500,582,13322.0,89663,47594,19574.0,50948,45866,19,169,2011
"Woodbury County, Iowa",98500,495,8239.0,102509,50003,17145.0,53226,42435,19,193,2011
"Butler County, Kansas",124800,488,7055.0,65817,30713,6781.0,32818,51843,20,015,2011
"Douglas County, Kansas",173700,716,16747.0,112211,62866,17195.0,67787,47757,20,045,2011
"Johnson County, Kansas",209900,734,123398.0,552991,297749,36071.0,314685,69856,20,091,2011
"Leavenworth County, Kansas",168900,666,7626.0,75527,31790,8818.0,34867,62453,20,103,2011
"Riley County, Kansas",174200,692,8523.0,72997,32908,13493.0,34893,45122,20,161,2011
"Sedgwick County, Kansas",125600,523,61952.0,501076,235808,73749.0,261300,49478,20,173,2011
"Shawnee County, Kansas",115000,524,21571.0,178941,84489,24854.0,90959,43900,20,177,2011
"Wyandotte County, Kansas",89900,529,10664.0,158224,66729,40837.0,78485,37991,20,209,2011
"Boone County, Kentucky",171300,652,15079.0,121737,58996,10374.0,62130,63556,21,015,2011
"Bullitt County, Kentucky",138000,533,4675.0,75109,36857,7651.0,39730,51436,21,029,2011
"Campbell County, Kentucky",143000,552,10974.0,90940,45829,11341.0,49815,53968,21,037,2011
"Christian County, Kentucky",96600,499,3909.0,73591,23636,15635.0,27690,35573,21,047,2011
"Daviess County, Kentucky",106800,464,5352.0,97234,43283,14874.0,46375,44622,21,059,2011
"Fayette County, Kentucky",163400,601,44883.0,301569,153049,51471.0,167098,47207,21,067,2011
"Hardin County, Kentucky",138400,558,8130.0,107456,43572,15535.0,48922,47448,21,093,2011
"Jefferson County, Kentucky",147400,571,86105.0,746906,342750,125538.0,388763,45383,21,111,2011
"Kenton County, Kentucky",145400,577,19797.0,160406,75931,27154.0,83243,49367,21,117,2011
"McCracken County, Kentucky",125600,449,5892.0,65864,29730,10517.0,32129,45220,21,145,2011
"Madison County, Kentucky",146500,479,8112.0,84188,36396,16764.0,41110,38596,21,151,2011
"Pike County, Kentucky",71900,407,2329.0,64904,20881,13006.0,23032,33307,21,195,2011
"Warren County, Kentucky",137300,497,12462.0,115517,57379,20638.0,63200,38244,21,227,2011
"Ascension Parish, Louisiana",162000,721,10589.0,109985,51845,11231.0,56553,64530,22,005,2011
"Bossier Parish, Louisiana",160600,630,12935.0,119732,54429,16549.0,58212,50604,22,015,2011
