County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),Owner Occupied Housing Units,Total Households,State FIPS,County FIPS,Year
"Woodbury County, Iowa",98500,495,8239.0,102509,50003,17145.0,53226,42435,13468,39265,19,193,2011
"Butler County, Kansas",124800,488,7055.0,65817,30713,6781.0,32818,51843,5864,23681,20,015,2011
"Douglas County, Kansas",173700,716,16747.0,112211,62866,17195.0,67787,47757,21012,43371,20,045,2011
"Johnson County, Kansas",209900,734,123398.0,552991,297749,36071.0,314685,69856,63953,216252,20,091,2011
"Leavenworth County, Kansas",168900,666,7626.0,75527,31790,8818.0,34867,62453,8280,25192,20,103,2011
"Riley County, Kansas",174200,692,8523.0,72997,32908,13493.0,34893,45122,14658,25207,20,161,2011
"Sedgwick County, Kansas",125600,523,61952.0,501076,235808,73749.0,261300,49478,66076,191715,20,173,2011
"Shawnee County, Kansas",115000,524,21571.0,178941,84489,24854.0,90959,43900,25108,71584,20,177,2011
"Wyandotte County, Kansas",89900,529,10664.0,158224,66729,40837.0,78485,37991,21485,56908,20,209,2011
"Boone County, Kentucky",171300,652,15079.0,121737,58996,10374.0,62130,63556,8639,42281,21,015,2011
